price,excise,inflation,outcome
1.62569,0.72840,0.0390,1.87433
1.43109,0.25807,-0.0019,1.62569
1.57425,0.72840,0.0049,1.43109
1.59937,0.72840,0.0109,1.57425
1.52880,0.72840,0.0090,1.59937
1.44403,0.72840,0.0049,1.52880
1.53484,0.72840,0.0009,1.44403
1.71266,0.73041,0.0000,1.53484
1.74864,0.72840,0.0066,1.71266
1.78661,0.71702,0.0231,1.74864
1.55631,0.59754,0.0329,1.78661
1.36435,0.56400,0.0188,1.55631
1.23375,0.56400,0.0102,1.36435
1.38092,0.56232,0.0224,1.23375
1.29916,0.56400,0.0261,1.38092
1.28560,0.56400,0.0187,1.29916
1.22065,0.56321,0.0199,1.28560
1.12541,0.55847,0.0203,1.22065
1.05747,0.54184,0.0250,1.12541
1.04623,0.54184,0.0283,1.05747
1.05172,0.52378,0.0237,1.04623
1.08271,0.52163,0.0270,1.05172
0.95752,0.53904,0.0211,1.08271
0.90921,0.52796,0.0168,0.95752
0.94222,0.52796,0.0190,0.90921
0.92531,0.52780,0.0286,0.94222
